Area,Year,average_rain_fall_mm_per_year,Item,Yield,pesticide,avg_temp
1,1992,89.0,2,24733,1215.47,16.27
1,1992,89.0,3,40000,1215.47,16.27
1,1992,89.0,5,9939,1215.47,16.27
1,1993,89.0,0,12500,1021.89,17.0
1,1993,89.0,1,111215,1021.89,17.0
1,1993,89.0,2,23111,1021.89,17.0
1,1993,89.0,3,50000,1021.89,17.0
1,1993,89.0,5,8097,1021.89,17.0
1,1994,89.0,0,4512,1255.02,17.88
1,1994,89.0,1,95078,1255.02,17.88
1,1994,89.0,2,21374,1255.02,17.88
1,1994,89.0,5,7999,1255.02,17.88
1,1995,89.0,0,16115,2697.09,17.36
1,1995,89.0,1,136768,2697.09,17.36
1,1995,89.0,2,19598,2697.09,17.36
1,1995,89.0,3,12667,2697.09,17.36
1,1995,89.0,5,8924,2697.09,17.36
1,1996,89.0,0,17154,479.77,16.76
1,1996,89.0,1,134629,479.77,16.76
1,1996,89.0,2,17861,479.77,16.76
1,1996,89.0,3,14750,479.77,16.76
1,1996,89.0,5,13090,479.77,16.76
1,1997,89.0,0,21417,401.22,17.84
1,1997,89.0,1,141042,401.22,17.84
1,1997,89.0,2,15000,401.22,17.84
1,1997,89.0,3,40000,401.22,17.84
1,1997,89.0,5,8016,401.22,17.84
1,1998,89.0,0,17222,322.84,17.14
1,1998,89.0,1,160256,322.84,17.14
1,1998,89.0,2,15000,322.84,17.14
1,1998,89.0,3,24500,322.84,17.14
1,1998,89.0,5,8847,322.84,17.14
1,1999,89.0,0,22375,654.45,17.97
1,1999,89.0,1,153532,654.45,17.97
1,1999,89.0,2,13942,654.45,17.97
1,1999,89.0,3,27000,654.45,17.97
1,1999,89.0,5,10711,654.45,17.97
1,2000,89.0,0,36186,603.67,17.9
1,2000,89.0,1,166143,603.67,17.9
1,2000,89.0,2,13052,603.67,17.9
1,2000,89.0,3,69500,603.67,17.9
1,2000,89.0,5,9194,603.67,17.9
1,2001,89.0,0,27175,710.11,18.13
1,2001,89.0,1,147018,710.11,18.13
1,2001,89.0,2,12314,710.11,18.13
1,2001,89.0,3,27750,710.11,18.13
1,2001,89.0,5,11104,710.11,18.13
1,2002,89.0,0,33480,816.55,17.85
1,2002,89.0,1,183774,816.55,17.85
1,2002,89.0,2,12959,816.55,17.85
1,2002,89.0,3,33900,816.55,17.85
1,2002,89.0,5,10739,816.55,17.85
1,2004,89.0,0,31729,3747.86,17.38
1,2004,89.0,1,203585,3747.86,17.38
1,2004,89.0,2,12829,3747.86,17.38
1,2004,89.0,3,43316,3747.86,17.38
1,2004,89.0,5,13582,3747.86,17.38
1,2005,89.0,0,33864,3662.87,17.19
1,2005,89.0,1,216267,3662.87,17.19
1,2005,89.0,2,12998,3662.87,17.19
1,2005,89.0,3,33486,3662.87,17.19
1,2005,89.0,5,15057,3662.87,17.19
1,2006,89.0,0,65668,4110.72,18.13
1,2006,89.0,1,220689,4110.72,18.13
1,2006,89.0,2,12769,4110.72,18.13
1,2006,89.0,3,56728,4110.72,18.13
1,2006,89.0,5,15068,4110.72,18.13
1,2007,89.0,0,85625,5390.79,17.42
1,2007,89.0,1,189927,5390.79,17.42
1,2007,89.0,2,13375,5390.79,17.42
1,2007,89.0,3,119059,5390.79,17.42
1,2007,89.0,5,12742,5390.79,17.42
1,2008,89.0,0,44714,11556.12,17.55
1,2008,89.0,1,236393,11556.12,17.55
1,2008,89.0,2,13952,11556.12,17.55
1,2008,89.0,3,61786,11556.12,17.55
1,2008,89.0,5,11038,11556.12,17.55
1,2009,89.0,0,30914,3867.99,17.78
1,2009,89.0,1,250764,3867.99,17.78
1,2009,89.0,2,14594,3867.99,17.78
1,2009,89.0,3,90465,3867.99,17.78
1,2009,89.0,5,15975,3867.99,17.78
1,2010,89.0,0,25827,1295.88,17.59
1,2010,89.0,1,270526,1295.88,17.59
1,2010,89.0,2,15305,1295.88,17.59
1,2010,89.0,3,30286,1295.88,17.59
1,2010,89.0,5,14838,1295.88,17.59
1,2011,89.0,0,23374,13861.76,17.79
1,2011,89.0,1,292806,13861.76,17.79
1,2011,89.0,2,16081,13861.76,17.79
1,2011,89.0,3,100000,13861.76,17.79
1,2011,89.0,5,17405,13861.76,17.79
1,2012,89.0,0,25583,17379.76,17.91
1,2012,89.0,1,304291,17379.76,17.91
1,2012,89.0,2,16667,17379.76,17.91
1,2012,89.0,3,206000,17379.76,17.91
1,2012,89.0,5,17639,17379.76,17.91
1,2013,89.0,0,33649,17278.65,17.65
1,2013,89.0,1,303218,17278.65,17.65
1,2013,89.0,2,17778,17278.65,17.65
1,2013,89.0,3,60000,17278.65,17.65
1,2013,89.0,5,19100,17278.65,17.65
2,1990,1010.0,6,41177,64.0,24.12
2,1990,1010.0,0,2736,64.0,24.12
2,1990,1010.0,1,40000,64.0,24.12
2,1990,1010.0,2,9512,64.0,24.12
2,1990,1010.0,7,89342,64.0,24.12
2,1990,1010.0,5,7995,64.0,24.12
2,1991,1010.0,6,40295,79.0,24.02
2,1991,1010.0,0,4013,79.0,24.02
2,1991,1010.0,1,40000,79.0,24.02
2,1991,1010.0,2,10000,79.0,24.02
2,1991,1010.0,7,83001,79.0,24.02
2,1991,1010.0,5,8000,79.0,24.02
2,1992,1010.0,6,42295,23.0,23.96
2,1992,1010.0,0,3778,23.0,23.96
2,1992,1010.0,1,40000,23.0,23.96
2,1992,1010.0,2,9106,23.0,23.96
2,1992,1010.0,7,90000,23.0,23.96
2,1992,1010.0,5,8000,23.0,23.96
2,1993,1010.0,6,42295,169.0,24.15
2,1993,1010.0,0,2627,169.0,24.15
2,1993,1010.0,1,70000,169.0,24.15
2,1993,1010.0,2,8000,169.0,24.15
2,1993,1010.0,7,88095,169.0,24.15
2,1993,1010.0,5,8876,169.0,24.15
2,1994,1010.0,6,58596,25.5,24.04
2,1994,1010.0,0,2463,25.5,24.04
2,1994,1010.0,1,90000,25.5,24.04
2,1994,1010.0,2,8750,25.5,24.04
2,1994,1010.0,7,83192,25.5,24.04
2,1994,1010.0,5,10000,25.5,24.04
2,1995,1010.0,6,51000,336.0,24.56
2,1995,1010.0,0,3517,336.0,24.56
2,1995,1010.0,1,76738,336.0,24.56
2,1995,1010.0,2,14615,336.0,24.56
2,1995,1010.0,7,81138,336.0,24.56
2,1995,1010.0,5,11855,336.0,24.56
2,1996,1010.0,6,48077,40.0,24.11
2,1996,1010.0,0,6993,40.0,24.11
2,1996,1010.0,1,70000,40.0,24.11
2,1996,1010.0,2,17500,40.0,24.11
2,1996,1010.0,7,85455,40.0,24.11
2,1996,1010.0,5,13738,40.0,24.11
2,1997,1010.0,6,44205,40.0,24.06
2,1997,1010.0,0,5959,40.0,24.06
2,1997,1010.0,1,68571,40.0,24.06
2,1997,1010.0,2,20000,40.0,24.06
2,1997,1010.0,7,78098,40.0,24.06
2,1997,1010.0,5,15509,40.0,24.06
2,1998,1010.0,6,55728,40.0,24.96
2,1998,1010.0,0,7396,40.0,24.96
2,1998,1010.0,1,62724,40.0,24.96
2,1998,1010.0,2,20000,40.0,24.96
2,1998,1010.0,7,76256,40.0,24.96
2,1998,1010.0,5,17143,40.0,24.96
2,1999,1010.0,6,59821,40.0,24.37
2,1999,1010.0,0,6361,40.0,24.37
2,1999,1010.0,1,54597,40.0,24.37
2,1999,1010.0,2,14235,40.0,24.37
2,1999,1010.0,7,82865,40.0,24.37
2,1999,1010.0,5,17391,40.0,24.37
2,2000,1010.0,6,82992,40.0,24.41
2,2000,1010.0,0,5745,40.0,24.41
2,2000,1010.0,1,29885,40.0,24.41
2,2000,1010.0,2,13454,40.0,24.41
2,2000,1010.0,3,3333,40.0,24.41
2,2000,1010.0,4,2333,40.0,24.41
2,2000,1010.0,7,34938,40.0,24.41
2,2000,1010.0,5,17023,40.0,24.41
2,2001,1010.0,6,94072,40.0,24.43
2,2001,1010.0,0,5754,40.0,24.43
2,2001,1010.0,1,42552,40.0,24.43
2,2001,1010.0,2,13701,40.0,24.43
2,2001,1010.0,3,3571,40.0,24.43
2,2001,1010.0,4,2500,40.0,24.43
2,2001,1010.0,7,44458,40.0,24.43
2,2001,1010.0,5,16667,40.0,24.43
2,2002,1010.0,6,110071,40.0,24.79
2,2002,1010.0,0,6706,40.0,24.79
2,2002,1010.0,1,42754,40.0,24.79
2,2002,1010.0,2,13198,40.0,24.79
2,2002,1010.0,3,3400,40.0,24.79
2,2002,1010.0,4,2857,40.0,24.79
2,2002,1010.0,7,42190,40.0,24.79
2,2002,1010.0,5,15455,40.0,24.79
2,2004,1010.0,6,125605,40.0,24.22
2,2004,1010.0,0,5404,40.0,24.22
2,2004,1010.0,1,20150,40.0,24.22
2,2004,1010.0,2,11584,40.0,24.22
2,2004,1010.0,3,3333,40.0,24.22
2,2004,1010.0,4,3600,40.0,24.22
2,2004,1010.0,7,45360,40.0,24.22
2,2004,1010.0,5,12442,40.0,24.22
2,2005,1010.0,6,117628,40.0,24.41
2,2005,1010.0,0,6736,40.0,24.41
2,2005,1010.0,1,23646,40.0,24.41
2,2005,1010.0,2,6977,40.0,24.41
2,2005,1010.0,3,3333,40.0,24.41
2,2005,1010.0,4,3793,40.0,24.41
2,2005,1010.0,7,46159,40.0,24.41
2,2005,1010.0,5,10946,40.0,24.41
2,2006,1010.0,6,117201,40.0,24.14
2,2006,1010.0,0,4687,40.0,24.14
2,2006,1010.0,1,52148,40.0,24.14
2,2006,1010.0,2,4947,40.0,24.14
2,2006,1010.0,3,4091,40.0,24.14
2,2006,1010.0,4,4286,40.0,24.14
2,2006,1010.0,7,44240,40.0,24.14
2,2006,1010.0,5,10000,40.0,24.14
2,2007,1010.0,6,115387,40.0,24.24
2,2007,1010.0,0,5091,40.0,24.24
2,2007,1010.0,1,62138,40.0,24.24
2,2007,1010.0,2,5143,40.0,24.24
2,2007,1010.0,3,4031,40.0,24.24
2,2007,1010.0,4,6883,40.0,24.24
2,2007,1010.0,7,58855,40.0,24.24
2,2007,1010.0,5,10000,40.0,24.24
2,2008,1010.0,6,148084,40.0,24.27
2,2008,1010.0,0,7946,40.0,24.27
2,2008,1010.0,1,85085,40.0,24.27
2,2008,1010.0,2,5084,40.0,24.27
2,2008,1010.0,3,929,40.0,24.27
2,2008,1010.0,4,8575,40.0,24.27
2,2008,1010.0,7,65437,40.0,24.27
2,2008,1010.0,5,10000,40.0,24.27
2,2009,1010.0,6,151759,40.0,24.33
2,2009,1010.0,0,6614,40.0,24.33
2,2009,1010.0,1,86509,40.0,24.33
2,2009,1010.0,2,6028,40.0,24.33
2,2009,1010.0,3,2480,40.0,24.33
2,2009,1010.0,4,4449,40.0,24.33
2,2009,1010.0,7,66475,40.0,24.33
2,2009,1010.0,5,10000,40.0,24.33
2,2010,1010.0,6,155782,40.0,24.44
2,2010,1010.0,0,7200,40.0,24.44
2,2010,1010.0,1,87425,40.0,24.44
2,2010,1010.0,2,7403,40.0,24.44
2,2010,1010.0,3,2814,40.0,24.44
2,2010,1010.0,4,4446,40.0,24.44
2,2010,1010.0,7,63001,40.0,24.44
2,2010,1010.0,5,10526,40.0,24.44
2,2011,1010.0,6,133649,40.0,24.15
2,2011,1010.0,0,7376,40.0,24.15
2,2011,1010.0,1,81366,40.0,24.15
2,2011,1010.0,2,8914,40.0,24.15
2,2011,1010.0,3,3320,40.0,24.15
2,2011,1010.0,4,5294,40.0,24.15
2,2011,1010.0,7,65512,40.0,24.15
2,2011,1010.0,5,10959,40.0,24.15
2,2012,1010.0,6,100073,40.0,24.24
2,2012,1010.0,0,7770,40.0,24.24
2,2012,1010.0,1,69381,40.0,24.24
2,2012,1010.0,2,7703,40.0,24.24
2,2012,1010.0,3,998,40.0,24.24
2,2012,1010.0,4,1641,40.0,24.24
2,2012,1010.0,7,52954,40.0,24.24
2,2012,1010.0,5,11258,40.0,24.24
2,2013,1010.0,6,140517,40.0,24.55
2,2013,1010.0,0,9467,40.0,24.55
2,2013,1010.0,1,63303,40.0,24.55
2,2013,1010.0,2,12744,40.0,24.55
2,2013,1010.0,3,2415,40.0,24.55
2,2013,1010.0,4,4405,40.0,24.55
2,2013,1010.0,7,73409,40.0,24.55
2,2013,1010.0,5,9022,40.0,24.55
3,1990,591.0,6,100000,26156.0,17.46
3,1990,591.0,6,100000,26156.0,17.67
3,1990,591.0,0,34608,26156.0,17.46
3,1990,591.0,0,34608,26156.0,17.67
3,1990,591.0,1,202747,26156.0,17.46
3,1990,591.0,1,202747,26156.0,17.67
3,1990,591.0,2,36709,26156.0,17.46
3,1990,591.0,2,36709,26156.0,17.67
3,1990,591.0,3,28116,26156.0,17.46
3,1990,591.0,3,28116,26156.0,17.67
3,1990,591.0,4,21566,26156.0,17.46
3,1990,591.0,4,21566,26156.0,17.67
3,1990,591.0,7,131864,26156.0,17.46
3,1990,591.0,7,131864,26156.0,17.67
3,1990,591.0,5,18947,26156.0,17.46
3,1990,591.0,5,18947,26156.0,17.67
3,1991,591.0,6,100000,26156.0,17.64
3,1991,591.0,6,100000,26156.0,17.86
3,1991,591.0,0,40444,26156.0,17.64
3,1991,591.0,0,40444,26156.0,17.86
3,1991,591.0,1,205692,26156.0,17.64
3,1991,591.0,1,205692,26156.0,17.86
3,1991,591.0,2,40294,26156.0,17.64
3,1991,591.0,2,40294,26156.0,17.86
3,1991,591.0,3,33320,26156.0,17.64
3,1991,591.0,3,33320,26156.0,17.86
3,1991,591.0,4,22750,26156.0,17.64
3,1991,591.0,4,22750,26156.0,17.86
3,1991,591.0,7,131364,26156.0,17.64
3,1991,591.0,7,131364,26156.0,17.86
3,1991,591.0,5,18972,26156.0,17.64
3,1991,591.0,5,18972,26156.0,17.86
3,1992,591.0,6,100000,26156.0,17.09
3,1992,591.0,6,100000,26156.0,17.51
3,1992,591.0,0,45237,26156.0,17.09
3,1992,591.0,0,45237,26156.0,17.51
3,1992,591.0,1,199039,26156.0,17.09
3,1992,591.0,1,199039,26156.0,17.51
3,1992,591.0,2,52075,26156.0,17.09
3,1992,591.0,2,52075,26156.0,17.51
3,1992,591.0,3,36217,26156.0,17.09
3,1992,591.0,3,36217,26156.0,17.51
3,1992,591.0,4,22915,26156.0,17.09
3,1992,591.0,4,22915,26156.0,17.51
3,1992,591.0,7,127273,26156.0,17.09
3,1992,591.0,7,127273,26156.0,17.51
3,1992,591.0,5,21809,26156.0,17.09
3,1992,591.0,5,21809,26156.0,17.51
3,1993,591.0,6,100000,26156.0,17.32
3,1993,591.0,6,100000,26156.0,17.53
3,1993,591.0,0,43552,26156.0,17.32
3,1993,591.0,0,43552,26156.0,17.53
3,1993,591.0,1,210314,26156.0,17.32
3,1993,591.0,1,210314,26156.0,17.53
3,1993,591.0,2,43559,26156.0,17.32
3,1993,591.0,2,43559,26156.0,17.53
3,1993,591.0,3,39529,26156.0,17.32
3,1993,591.0,3,39529,26156.0,17.53
3,1993,591.0,4,21589,26156.0,17.32
3,1993,591.0,4,21589,26156.0,17.53
3,1993,591.0,7,122955,26156.0,17.32
3,1993,591.0,7,122955,26156.0,17.53
3,1993,591.0,5,23272,26156.0,17.32
3,1993,591.0,5,23272,26156.0,17.53
3,1994,591.0,6,100000,30195.0,18.17
3,1994,591.0,6,100000,30195.0,18.31
3,1994,591.0,0,42371,30195.0,18.17
3,1994,591.0,0,42371,30195.0,18.31
3,1994,591.0,1,230166,30195.0,18.17
3,1994,591.0,1,230166,30195.0,18.31
3,1994,591.0,2,42989,30195.0,18.17
3,1994,591.0,2,42989,30195.0,18.31
3,1994,591.0,3,35065,30195.0,18.17
3,1994,591.0,3,35065,30195.0,18.31
3,1994,591.0,4,20386,30195.0,18.17
3,1994,591.0,4,20386,30195.0,18.31
3,1994,591.0,7,176667,30195.0,18.17
3,1994,591.0,7,176667,30195.0,18.31
3,1994,591.0,5,20237,30195.0,18.17
3,1994,591.0,5,20237,30195.0,18.31
3,1995,591.0,6,100000,37842.0,17.74
3,1995,591.0,6,100000,37842.0,17.62
3,1995,591.0,0,45223,37842.0,17.74
3,1995,591.0,0,45223,37842.0,17.62
3,1995,591.0,1,274272,37842.0,17.74
3,1995,591.0,1,274272,37842.0,17.62
3,1995,591.0,2,50306,37842.0,17.74
3,1995,591.0,2,50306,37842.0,17.62
3,1995,591.0,3,34588,37842.0,17.74
3,1995,591.0,3,34588,37842.0,17.62
3,1995,591.0,4,20446,37842.0,17.74
3,1995,591.0,4,20446,37842.0,17.62
3,1995,591.0,7,168000,37842.0,17.74
3,1995,591.0,7,168000,37842.0,17.62
3,1995,591.0,5,21675,37842.0,17.74
3,1995,591.0,5,21675,37842.0,17.62
3,1996,591.0,6,100000,54595.0,17.64
3,1996,591.0,6,100000,54595.0,17.97
3,1996,591.0,0,40397,54595.0,17.64
3,1996,591.0,0,40397,54595.0,17.97
3,1996,591.0,1,228877,54595.0,17.64
3,1996,591.0,1,228877,54595.0,17.97
3,1996,591.0,2,51031,54595.0,17.64
3,1996,591.0,2,51031,54595.0,17.97
3,1996,591.0,3,38763,54595.0,17.64
3,1996,591.0,3,38763,54595.0,17.97
3,1996,591.0,4,21051,54595.0,17.64
3,1996,591.0,4,21051,54595.0,17.97
3,1996,591.0,7,170000,54595.0,17.64
3,1996,591.0,7,170000,54595.0,17.97
3,1996,591.0,5,19344,54595.0,17.64
3,1996,591.0,5,19344,54595.0,17.97
3,1997,591.0,6,100000,77691.0,18.29
3,1997,591.0,6,100000,77691.0,18.54
3,1997,591.0,0,45557,77691.0,18.29
3,1997,591.0,0,45557,77691.0,18.54
3,1997,591.0,1,268502,77691.0,18.29
3,1997,591.0,1,268502,77691.0,18.54
3,1997,591.0,2,53703,77691.0,18.29
3,1997,591.0,2,53703,77691.0,18.54
3,1997,591.0,3,36845,77691.0,18.29
3,1997,591.0,3,36845,77691.0,18.54
3,1997,591.0,4,17212,77691.0,18.29
3,1997,591.0,4,17212,77691.0,18.54
3,1997,591.0,7,145662,77691.0,18.29
3,1997,591.0,7,145662,77691.0,18.54
3,1997,591.0,5,22426,77691.0,18.29
3,1997,591.0,5,22426,77691.0,18.54
3,1998,591.0,6,100000,62397.0,17.23
3,1998,591.0,6,100000,62397.0,17.52
3,1998,591.0,0,60780,62397.0,17.23
3,1998,591.0,0,60780,62397.0,17.52
3,1998,591.0,1,293744,62397.0,17.23
3,1998,591.0,1,293744,62397.0,17.52
3,1998,591.0,2,47762,62397.0,17.23
3,1998,591.0,2,47762,62397.0,17.52
3,1998,591.0,3,48105,62397.0,17.23
3,1998,591.0,3,48105,62397.0,17.52
3,1998,591.0,4,26937,62397.0,17.23
3,1998,591.0,4,26937,62397.0,17.52
3,1998,591.0,7,175055,62397.0,17.23
3,1998,591.0,7,175055,62397.0,17.52
3,1998,591.0,5,26088,62397.0,17.23
3,1998,591.0,5,26088,62397.0,17.52
3,1999,591.0,6,100000,62831.39,17.15
3,1999,591.0,6,100000,62831.39,17.71
3,1999,591.0,0,53702,62831.39,17.15
3,1999,591.0,0,53702,62831.39,17.71
3,1999,591.0,1,238938,62831.39,17.15
3,1999,591.0,1,238938,62831.39,17.71
3,1999,591.0,2,57337,62831.39,17.15
3,1999,591.0,2,57337,62831.39,17.71
3,1999,591.0,3,43845,62831.39,17.15
3,1999,591.0,3,43845,62831.39,17.71
3,1999,591.0,4,24450,62831.39,17.15
3,1999,591.0,4,24450,62831.39,17.71
3,1999,591.0,7,143991,62831.39,17.15
3,1999,591.0,7,143991,62831.39,17.71
3,1999,591.0,5,23028,62831.39,17.15
3,1999,591.0,5,23028,62831.39,17.71
3,2000,591.0,6,100000,63265.78,16.98
3,2000,591.0,6,100000,63265.78,17.66
3,2000,591.0,0,54329,63265.78,16.98
3,2000,591.0,0,54329,63265.78,17.66
3,2000,591.0,1,277566,63265.78,16.98
3,2000,591.0,1,277566,63265.78,17.66
3,2000,591.0,2,47798,63265.78,16.98
3,2000,591.0,2,47798,63265.78,17.66
3,2000,591.0,3,46477,63265.78,16.98
3,2000,591.0,3,46477,63265.78,17.66
3,2000,591.0,4,23312,63265.78,16.98
3,2000,591.0,4,23312,63265.78,17.66
3,2000,591.0,7,151462,63265.78,16.98
3,2000,591.0,7,151462,63265.78,17.66
3,2000,591.0,5,24873,63265.78,16.98
3,2000,591.0,5,24873,63265.78,17.66
3,2001,591.0,6,100000,63700.17,17.71
3,2001,591.0,6,100000,63700.17,18.42
3,2001,591.0,0,54553,63700.17,17.71
3,2001,591.0,0,54553,63700.17,18.42
3,2001,591.0,1,283768,63700.17,17.71
3,2001,591.0,1,283768,63700.17,18.42
3,2001,591.0,2,57495,63700.17,17.71
3,2001,591.0,2,57495,63700.17,18.42
3,2001,591.0,3,47429,63700.17,17.71
3,2001,591.0,3,47429,63700.17,18.42
3,2001,591.0,4,25846,63700.17,17.71
3,2001,591.0,4,25846,63700.17,18.42
3,2001,591.0,7,155212,63700.17,17.71
3,2001,591.0,7,155212,63700.17,18.42
3,2001,591.0,5,24934,63700.17,17.71
3,2001,591.0,5,24934,63700.17,18.42
3,2002,591.0,6,100000,64134.56,17.58
3,2002,591.0,6,100000,64134.56,18.07
3,2002,591.0,0,60791,64134.56,17.58
3,2002,591.0,0,60791,64134.56,18.07
3,2002,591.0,1,251347,64134.56,17.58
3,2002,591.0,1,251347,64134.56,18.07
3,2002,591.0,2,57197,64134.56,17.58
3,2002,591.0,2,57197,64134.56,18.07
3,2002,591.0,3,52691,64134.56,17.58
3,2002,591.0,3,52691,64134.56,18.07
3,2002,591.0,4,26304,64134.56,17.58
3,2002,591.0,4,26304,64134.56,18.07
3,2002,591.0,7,155890,64134.56,17.58
3,2002,591.0,7,155890,64134.56,18.07
3,2002,591.0,5,22398,64134.56,17.58
3,2002,591.0,5,22398,64134.56,18.07
3,2004,591.0,6,100000,65003.34,17.67
3,2004,591.0,6,100000,65003.34,18.11
3,2004,591.0,0,63931,65003.34,17.67
3,2004,591.0,0,63931,65003.34,18.11
3,2004,591.0,1,288717,65003.34,17.67
3,2004,591.0,1,288717,65003.34,18.11
3,2004,591.0,2,62661,65003.34,17.67
3,2004,591.0,2,62661,65003.34,18.11
3,2004,591.0,3,45531,65003.34,17.67
3,2004,591.0,3,45531,65003.34,18.11
3,2004,591.0,4,22075,65003.34,17.67
3,2004,591.0,4,22075,65003.34,18.11
3,2004,591.0,7,154867,65003.34,17.67
3,2004,591.0,7,154867,65003.34,18.11
3,2004,591.0,5,25441,65003.34,17.67
3,2004,591.0,5,25441,65003.34,18.11
3,2005,591.0,6,100000,65437.73,17.32
3,2005,591.0,6,100000,65437.73,17.83
3,2005,591.0,0,73587,65437.73,17.32
3,2005,591.0,0,73587,65437.73,17.83
3,2005,591.0,1,283917,65437.73,17.32
